"licence_number","band","licensee","subservice","subordinated_from_licence","block","licence_area","condition_area","start_date","expiry_date","term_expiry_date","min_coverage","term_length","pop_covered","perc_covered","absolute_coverage_shortage","relative_coverage_shortage","expiry_time_margin","condition_met","pwr_threshold"
"010282993","MBS","Bell","Auction",,"B","2-014","4-170","2014-02-13","2034-04-02","2024-02-13","20.0","10","32698.6","91.0","71.0","355.1","1.7","Yes","-140"
"010282993","MBS","Bell","Auction",,"B","2-014","4-172","2014-02-13","2034-04-02","2024-02-13","20.0","10","38072.2","91.4","71.4","356.9","1.7","Yes","-140"
"010282993","MBS","Bell","Auction",,"B","2-014","4-171","2014-02-13","2034-04-02","2024-02-13","20.0","10","32782.8","91.1","71.1","355.6","1.7","Yes","-140"
"010282987","MBS","Freedom","Auction",,"C1","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","8822570.7","83.2","33.2","66.3","1.7","Yes","-140"
"010282901","MBS","TELUS","Auction",,"B","2-010","2-010","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010814358","MBS","Bell","Subordinate","1.0282317E7","C","2-010","2-010","2019-04-18","2034-04-01","2029-04-18","50.0","10","1024259.3","80.1","30.1","60.3","6.8","Yes","-140"
"010284015","MBS","Bell","Auction",,"D","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","664356.5","85.3","35.3","70.7","1.7","Yes","-140"
"010283729","MBS","Bell","Auction",,"C2","2-006","2-006","2014-02-13","2034-04-02","2024-02-13","50.0","10","1280331.8","52.6","2.6","5.1","1.7","Yes","-140"
"010283515","MBS","TELUS","Auction",,"C2","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283379","MBS","Rogers","Auction",,"B","2-003","2-003","2014-02-13","2034-04-02","2024-02-13","40.0","10","712597.6","95.6","55.6","138.9","1.7","Yes","-140"
"010283377","MBS","Rogers","Auction",,"A","2-003","2-003","2014-02-13","2034-04-02","2024-02-13","40.0","10","48267.9","6.5","-33.5","-83.8","1.7","Not Applicable","-140"
"010283171","MBS","Rogers","Auction",,"B","2-002","2-002","2014-02-13","2034-04-02","2024-02-13","30.0","10","1017216.9","95.4","65.4","217.9","1.7","Yes","-140"
"010282999","MBS","Bell","Auction",,"E","2-014","4-170","2014-02-13","2034-04-02","2024-02-13","20.0","10","25919.6","72.1","52.1","260.7","1.7","Yes","-140"
"010282999","MBS","Bell","Auction",,"E","2-014","4-171","2014-02-13","2034-04-02","2024-02-13","20.0","10","0.0","0.0","-20.0","-100.0","1.7","Not Applicable","-140"
"010282999","MBS","Bell","Auction",,"E","2-014","4-172","2014-02-13","2034-04-02","2024-02-13","20.0","10","22069.5","53.0","33.0","164.8","1.7","Yes","-140"
"010282909","MBS","TELUS","Auction",,"C2","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282871","MBS","Bell","Auction",,"C","2-001","2-001","2014-02-13","2034-04-02","2024-02-13","30.0","10","489875.5","94.2","64.2","213.9","1.7","Yes","-140"
"010282769","MBS","Bell","Auction",,"D","2-014","4-171","2014-02-13","2034-04-02","2024-02-13","20.0","10","0.0","0.0","-20.0","-100.0","1.7","Not Applicable","-140"
"010282769","MBS","Bell","Auction",,"D","2-014","4-172","2014-02-13","2034-04-02","2024-02-13","20.0","10","22069.5","53.0","33.0","164.8","1.7","Yes","-140"
"010282769","MBS","Bell","Auction",,"D","2-014","4-170","2014-02-13","2034-04-02","2024-02-13","20.0","10","25919.6","72.1","52.1","260.7","1.7","Yes","-140"
"010282561","MBS","TELUS","Auction",,"C","2-013","2-013","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282413","MBS","Eastlink","Auction",,"C1","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","261706.7","33.6","-16.4","-32.8","1.7","Not Applicable","-140"
"010282313","MBS","Rogers","Auction",,"B","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010691219","MBS","Vidéotron","Subordinate","1.0282313E7","B","2-005","2-005","2016-02-04","2034-04-02","2026-02-04","50.0","10","0.0","0.0","-50.0","-100.0","3.6","Not Applicable","-140"
"010691194","MBS","Vidéotron","Subordinate","1.0283169E7","A","2-004","2-004","2016-02-04","2034-04-02","2026-02-04","50.0","10","0.0","0.0","-50.0","-100.0","3.6","Not Applicable","-140"
"010288583","MBS","Bell","Subordinate","1.0283035E7","C","2-014","4-170","2015-04-14","2034-04-02","2025-04-14","20.0","10","30653.2","85.3","65.3","326.6","2.8","Yes","-140"
"010288583","MBS","Bell","Subordinate","1.0283035E7","C","2-014","4-172","2015-04-14","2034-04-02","2025-04-14","20.0","10","32079.8","77.0","57.0","284.9","2.8","Yes","-140"
"010288583","MBS","Bell","Subordinate","1.0283035E7","C","2-014","4-171","2015-04-14","2034-04-02","2025-04-14","20.0","10","32782.8","91.1","71.1","355.6","2.8","Yes","-140"
"010288451","MBS","Bell","Subordinate","1.0283799E7","C2","2-002","2-002","2015-04-28","2034-04-02","2025-04-28","30.0","10","1045768.9","98.1","68.1","226.9","2.9","Yes","-140"
"010284039","MBS","TELUS","Auction",,"D","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010284007","MBS","Vidéotron","Auction",,"C1","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","4529264.5","76.8","26.8","53.6","1.7","Yes","-140"
"010283801","MBS","TELUS","Auction",,"C2","2-007","2-007","2014-02-13","2034-04-02","2024-02-13","30.0","10","0.0","0.0","-30.0","-100.0","1.7","Not Applicable","-140"
"010283799","MBS","TELUS","Auction",,"C2","2-002","2-002","2014-02-13","2034-04-02","2024-02-13","30.0","10","0.0","0.0","-30.0","-100.0","1.7","Not Applicable","-140"
