"tier_4","grid_id","geometry","median_measurements"
"4-006","237726","POLYGON ((-62.500000000000554 46.38333300000293, -62.500000000000576 46.36666700000293, -62.48333300000056 46.36666700000293, -62.48333300000058 46.38333300000292, -62.500000000000554 46.38333300000293))","6"
"4-006","238297","POLYGON ((-62.78333300000058 46.25000000000291, -62.783333000000596 46.23333300000294, -62.76666700000059 46.23333300000292, -62.7666670000006 46.2500000000029, -62.78333300000058 46.25000000000291))","6"
"4-007","243505","POLYGON ((-63.58333300000065 46.43333300000291, -63.58333300000065 46.4166670000029, -63.56666700000064 46.41666700000292, -63.56666700000064 46.43333300000293, -63.58333300000065 46.43333300000291))","4"
"4-006","239076","POLYGON ((-62.71666700000059 46.000000000002935, -62.71666700000059 45.983333000002936, -62.70000000000059 45.98333300000295, -62.70000000000058 46.00000000000295, -62.71666700000059 46.000000000002935))","2"
"4-006","237311","POLYGON ((-62.083333000000536 46.46666700000292, -62.08333300000055 46.450000000002916, -62.06666700000056 46.450000000002916, -62.06666700000056 46.46666700000293, -62.083333000000536 46.46666700000292))","4"
"4-007","243739","POLYGON ((-63.61666700000064 46.31666700000292, -63.61666700000064 46.300000000002925, -63.60000000000066 46.300000000002925, -63.600000000000634 46.31666700000291, -63.61666700000064 46.31666700000292))","4"
"4-006","237234","POLYGON ((-62.10000000000054 46.483333000002936, -62.10000000000056 46.46666700000292, -62.083333000000536 46.46666700000292, -62.083333000000536 46.48333300000295, -62.10000000000054 46.483333000002936))","4"
"4-006","237317","POLYGON ((-61.98333300000052 46.466667000002914, -61.983333000000535 46.450000000002944, -61.96666700000053 46.45000000000292, -61.966667000000534 46.466667000002914, -61.98333300000052 46.466667000002914))","2"
"4-006","238382","POLYGON ((-62.5166670000006 46.23333300000296, -62.51666700000057 46.21666700000294, -62.50000000000057 46.21666700000294, -62.50000000000057 46.23333300000292, -62.5166670000006 46.23333300000296))","9"
"4-007","242426","POLYGON ((-64.06666700000069 47.00000000000289, -64.06666700000069 46.98333300000289, -64.05000000000068 46.98333300000288, -64.05000000000068 47.000000000002885, -64.06666700000069 47.00000000000289))","11"
"4-006","237607","POLYGON ((-63.10000000000062 46.40000000000292, -63.100000000000605 46.38333300000292, -63.083333000000614 46.383333000002914, -63.083333000000614 46.40000000000291, -63.10000000000062 46.40000000000292))","3"
"4-006","237290","POLYGON ((-62.43333300000055 46.46666700000293, -62.43333300000055 46.450000000002916, -62.41666700000056 46.45000000000291, -62.41666700000056 46.46666700000292, -62.43333300000055 46.46666700000293))","5"
"4-006","238631","POLYGON ((-62.750000000000604 46.166667000002924, -62.75000000000059 46.15000000000293, -62.7333330000006 46.15000000000294, -62.73333300000061 46.16666700000294, -62.750000000000604 46.166667000002924))","19"
"4-006","238081","POLYGON ((-62.9333330000006 46.300000000002925, -62.93333300000059 46.28333300000291, -62.91666700000058 46.28333300000295, -62.916667000000594 46.300000000002925, -62.9333330000006 46.300000000002925))","1"
"4-006","238485","POLYGON ((-63.033333000000596 46.20000000000294, -63.03333300000061 46.183333000002946, -63.016667000000595 46.18333300000292, -63.01666700000059 46.200000000002916, -63.033333000000596 46.20000000000294))","2"
"4-006","238532","POLYGON ((-63.33333300000063 46.18333300000292, -63.33333300000064 46.16666700000293, -63.31666700000063 46.16666700000293, -63.31666700000063 46.18333300000292, -63.33333300000063 46.18333300000292))","2"
"4-007","243789","POLYGON ((-63.48333300000064 46.283333000002905, -63.48333300000064 46.266667000002904, -63.46666700000062 46.26666700000293, -63.46666700000062 46.28333300000293, -63.48333300000064 46.283333000002905))","4"
"4-006","237943","POLYGON ((-62.80000000000059 46.33333300000292, -62.800000000000594 46.31666700000291, -62.78333300000058 46.31666700000292, -62.78333300000058 46.33333300000294, -62.80000000000059 46.33333300000292))","2"
"4-007","243337","POLYGON ((-63.46666700000063 46.50000000000291, -63.46666700000065 46.48333300000293, -63.450000000000635 46.483333000002936, -63.45000000000066 46.500000000002906, -63.46666700000063 46.50000000000291))","2"
"4-006","237740","POLYGON ((-62.26666700000055 46.38333300000291, -62.266667000000545 46.36666700000291, -62.250000000000554 46.366667000002934, -62.250000000000554 46.38333300000293, -62.26666700000055 46.38333300000291))","1"
"4-007","243258","POLYGON ((-64.06666700000069 46.51666700000291, -64.06666700000068 46.50000000000291, -64.05000000000067 46.50000000000292, -64.05000000000068 46.51666700000291, -64.06666700000069 46.51666700000291))","1"
"4-007","243725","POLYGON ((-63.43333300000062 46.33333300000291, -63.43333300000063 46.3166670000029, -63.41666700000065 46.31666700000291, -63.416667000000636 46.33333300000291, -63.43333300000062 46.33333300000291))","3"
"4-007","243389","POLYGON ((-64.06666700000066 46.46666700000293, -64.06666700000068 46.45000000000291, -64.05000000000068 46.45000000000291, -64.05000000000067 46.466667000002914, -64.06666700000066 46.46666700000293))","4"
"4-006","238107","POLYGON ((-62.50000000000057 46.300000000002925, -62.50000000000057 46.28333300000293, -62.48333300000058 46.283333000002926, -62.48333300000056 46.300000000002925, -62.50000000000057 46.300000000002925))","2"
"4-006","237926","POLYGON ((-63.083333000000614 46.33333300000291, -63.083333000000614 46.31666700000292, -63.066667000000606 46.316667000002916, -63.06666700000062 46.33333300000292, -63.083333000000614 46.33333300000291))","3"
"4-007","242873","POLYGON ((-64.10000000000066 46.68333300000287, -64.10000000000069 46.666667000002896, -64.08333300000066 46.66666700000291, -64.08333300000068 46.683333000002904, -64.10000000000066 46.68333300000287))","3"
"4-007","243146","POLYGON ((-63.933333000000665 46.566667000002916, -63.933333000000665 46.55000000000292, -63.91666700000066 46.550000000002896, -63.91666700000066 46.5666670000029, -63.933333000000665 46.566667000002916))","4"
"4-006","238149","POLYGON ((-62.9500000000006 46.283333000002926, -62.9500000000006 46.266667000002926, -62.93333300000059 46.26666700000294, -62.93333300000059 46.28333300000291, -62.9500000000006 46.283333000002926))","8"
"4-007","242773","POLYGON ((-64.15000000000069 46.733333000002915, -64.15000000000067 46.71666700000288, -64.13333300000066 46.71666700000289, -64.13333300000069 46.7333330000029, -64.15000000000069 46.733333000002915))","4"
"4-007","243141","POLYGON ((-64.01666700000068 46.56666700000291, -64.01666700000068 46.550000000002896, -64.00000000000068 46.5500000000029, -64.00000000000068 46.5666670000029, -64.01666700000068 46.56666700000291))","5"
"4-006","238509","POLYGON ((-62.633333000000555 46.20000000000292, -62.63333300000057 46.18333300000292, -62.616667000000575 46.183333000002925, -62.61666700000056 46.20000000000294, -62.633333000000555 46.20000000000292))","5"
"4-007","243582","POLYGON ((-63.683333000000644 46.40000000000292, -63.683333000000644 46.383333000002914, -63.66666700000064 46.383333000002914, -63.66666700000064 46.40000000000291, -63.683333000000644 46.40000000000292))","1"
"4-007","243188","POLYGON ((-63.90000000000068 46.550000000002896, -63.90000000000068 46.53333300000292, -63.88333300000068 46.53333300000291, -63.883333000000654 46.550000000002896, -63.90000000000068 46.550000000002896))","2"
"4-007","243618","POLYGON ((-63.71666700000067 46.38333300000293, -63.716667000000655 46.3666670000029, -63.70000000000067 46.36666700000291, -63.70000000000066 46.38333300000293, -63.71666700000067 46.38333300000293))","3"
"4-006","239352","POLYGON ((-62.73333300000056 45.91666700000295, -62.733333000000584 45.90000000000293, -62.71666700000058 45.90000000000294, -62.71666700000059 45.91666700000293, -62.73333300000056 45.91666700000295))","2"
"4-007","242976","POLYGON ((-64.18333300000069 46.6333330000029, -64.18333300000069 46.61666700000291, -64.16666700000069 46.61666700000291, -64.16666700000069 46.6333330000029, -64.18333300000069 46.6333330000029))","5"
"4-007","243179","POLYGON ((-64.05000000000067 46.550000000002896, -64.05000000000068 46.533333000002926, -64.03333300000068 46.533333000002905, -64.03333300000067 46.550000000002896, -64.05000000000067 46.550000000002896))","3"
"4-006","237301","POLYGON ((-62.25000000000053 46.46666700000293, -62.25000000000054 46.45000000000294, -62.233333000000556 46.450000000002916, -62.233333000000556 46.46666700000292, -62.25000000000053 46.46666700000293))","4"
"4-007","243501","POLYGON ((-63.65000000000063 46.43333300000292, -63.650000000000645 46.41666700000289, -63.63333300000065 46.416667000002924, -63.63333300000065 46.43333300000291, -63.65000000000063 46.43333300000292))","5"
"4-007","243594","POLYGON ((-63.48333300000064 46.40000000000292, -63.48333300000064 46.38333300000294, -63.46666700000063 46.3833330000029, -63.46666700000063 46.40000000000292, -63.48333300000064 46.40000000000292))","6"
"4-006","238412","POLYGON ((-63.11666700000062 46.21666700000294, -63.11666700000062 46.200000000002916, -63.100000000000605 46.20000000000294, -63.10000000000062 46.216667000002936, -63.11666700000062 46.21666700000294))","4"
"4-007","243755","POLYGON ((-63.70000000000066 46.300000000002925, -63.70000000000067 46.28333300000294, -63.683333000000644 46.283333000002905, -63.683333000000644 46.30000000000292, -63.70000000000066 46.300000000002925))","4"
"4-007","243240","POLYGON ((-63.70000000000068 46.533333000002884, -63.70000000000066 46.516667000002926, -63.68333300000066 46.5166670000029, -63.683333000000644 46.53333300000292, -63.70000000000068 46.533333000002884))","3"
"4-006","238665","POLYGON ((-63.28333300000063 46.150000000002926, -63.28333300000062 46.13333300000294, -63.26666700000061 46.13333300000294, -63.26666700000061 46.15000000000294, -63.28333300000063 46.150000000002926))","3"
"4-006","239110","POLYGON ((-62.70000000000059 45.98333300000295, -62.70000000000059 45.96666700000296, -62.68333300000059 45.96666700000294, -62.683333000000566 45.98333300000298, -62.70000000000059 45.98333300000295))","9"
"4-006","238366","POLYGON ((-62.783333000000596 46.23333300000294, -62.78333300000058 46.21666700000294, -62.76666700000059 46.21666700000295, -62.76666700000059 46.23333300000292, -62.783333000000596 46.23333300000294))","2"
"4-006","237445","POLYGON ((-62.85000000000059 46.433333000002925, -62.850000000000584 46.41666700000293, -62.83333300000061 46.416667000002924, -62.83333300000061 46.43333300000294, -62.85000000000059 46.433333000002925))","11"
