"tier_4","grid_id","geometry","median_measurements"
"4-007","242686","POLYGON ((-64.1666670000007 46.7833330000029, -64.16666700000069 46.76666700000289, -64.15000000000069 46.76666700000289, -64.15000000000069 46.783333000002905, -64.1666670000007 46.7833330000029))","4"
"4-007","243588","POLYGON ((-63.58333300000065 46.40000000000291, -63.583333000000636 46.38333300000292, -63.566667000000656 46.38333300000293, -63.56666700000064 46.40000000000291, -63.58333300000065 46.40000000000291))","2"
"4-007","243777","POLYGON ((-63.683333000000644 46.283333000002905, -63.68333300000063 46.26666700000293, -63.666667000000636 46.266667000002904, -63.66666700000064 46.28333300000291, -63.683333000000644 46.283333000002905))","2"
"4-007","242793","POLYGON ((-64.3666670000007 46.7166670000029, -64.3666670000007 46.700000000002895, -64.35000000000069 46.70000000000289, -64.35000000000069 46.7166670000029, -64.3666670000007 46.7166670000029))","2"
"4-007","243574","POLYGON ((-63.81666700000068 46.400000000002905, -63.81666700000065 46.38333300000293, -63.80000000000065 46.38333300000293, -63.80000000000065 46.40000000000291, -63.81666700000068 46.400000000002905))","4"
"4-007","242775","POLYGON ((-64.11666700000069 46.7333330000029, -64.11666700000069 46.7166670000029, -64.10000000000068 46.716667000002886, -64.10000000000066 46.7333330000029, -64.11666700000069 46.7333330000029))","5"
"4-007","242523","POLYGON ((-64.18333300000069 46.90000000000288, -64.1833330000007 46.8833330000029, -64.16666700000069 46.8833330000029, -64.1666670000007 46.9000000000029, -64.18333300000069 46.90000000000288))","7"
"4-007","242452","POLYGON ((-64.16666700000069 46.96666700000286, -64.1666670000007 46.95000000000287, -64.15000000000069 46.95000000000289, -64.15000000000069 46.966667000002886, -64.16666700000069 46.96666700000286))","2"
"4-007","242419","POLYGON ((-64.00000000000068 47.016667000002876, -64.00000000000068 47.00000000000286, -63.98333300000068 47.00000000000288, -63.98333300000069 47.016667000002855, -64.00000000000068 47.016667000002876))","18"
"4-007","242809","POLYGON ((-64.10000000000068 46.716667000002886, -64.10000000000066 46.70000000000291, -64.08333300000066 46.700000000002895, -64.08333300000068 46.71666700000291, -64.10000000000068 46.716667000002886))","21"
"4-007","242907","POLYGON ((-64.08333300000066 46.66666700000291, -64.08333300000068 46.6500000000029, -64.06666700000068 46.65000000000289, -64.06666700000068 46.666667000002896, -64.08333300000066 46.66666700000291))","2"
"4-007","243519","POLYGON ((-64.06666700000069 46.41666700000291, -64.06666700000069 46.40000000000291, -64.05000000000068 46.40000000000291, -64.05000000000068 46.41666700000293, -64.06666700000069 46.41666700000291))","2"
"4-007","243538","POLYGON ((-63.750000000000654 46.41666700000291, -63.75000000000067 46.40000000000291, -63.73333300000066 46.40000000000291, -63.733333000000655 46.416667000002896, -63.750000000000654 46.41666700000291))","4"
"4-007","242985","POLYGON ((-64.03333300000068 46.6333330000029, -64.03333300000067 46.61666700000291, -64.01666700000068 46.61666700000289, -64.01666700000068 46.633333000002914, -64.03333300000068 46.6333330000029))","3"
"4-007","243265","POLYGON ((-63.95000000000068 46.51666700000292, -63.950000000000664 46.500000000002906, -63.93333300000068 46.500000000002906, -63.933333000000665 46.516667000002926, -63.95000000000068 46.51666700000292))","3"
"4-007","243732","POLYGON ((-63.73333300000066 46.31666700000292, -63.73333300000064 46.300000000002925, -63.716667000000655 46.30000000000292, -63.716667000000655 46.31666700000293, -63.73333300000066 46.31666700000292))","5"
"4-007","243614","POLYGON ((-63.78333300000066 46.383333000002914, -63.78333300000065 46.36666700000292, -63.76666700000065 46.36666700000291, -63.766667000000666 46.38333300000292, -63.78333300000066 46.383333000002914))","3"
"4-007","242813","POLYGON ((-64.03333300000067 46.71666700000291, -64.03333300000067 46.7000000000029, -64.01666700000067 46.70000000000289, -64.01666700000068 46.71666700000289, -64.03333300000067 46.71666700000291))","4"
"4-007","242487","POLYGON ((-64.2000000000007 46.933333000002875, -64.20000000000068 46.916667000002874, -64.18333300000069 46.916667000002874, -64.18333300000072 46.93333300000289, -64.2000000000007 46.933333000002875))","2"
"4-007","243961","POLYGON ((-64.43333300000072 46.65000000000291, -64.43333300000073 46.63333300000292, -64.4166670000007 46.6333330000029, -64.4166670000007 46.6500000000029, -64.43333300000072 46.65000000000291))","5"
"4-007","243111","POLYGON ((-63.90000000000068 46.583333000002916, -63.90000000000066 46.5666670000029, -63.88333300000067 46.566667000002894, -63.88333300000067 46.583333000002916, -63.90000000000068 46.583333000002916))","2"
"4-007","243868","POLYGON ((-63.50000000000064 46.21666700000295, -63.50000000000063 46.20000000000292, -63.48333300000064 46.20000000000293, -63.48333300000063 46.21666700000295, -63.50000000000064 46.21666700000295))","4"
"4-007","243577","POLYGON ((-63.76666700000065 46.40000000000292, -63.766667000000666 46.38333300000292, -63.750000000000654 46.38333300000294, -63.75000000000067 46.40000000000291, -63.76666700000065 46.40000000000292))","5"
"4-007","243579","POLYGON ((-63.73333300000066 46.40000000000291, -63.733333000000655 46.38333300000291, -63.71666700000067 46.38333300000293, -63.71666700000067 46.400000000002926, -63.73333300000066 46.40000000000291))","6"
"4-007","243308","POLYGON ((-63.950000000000664 46.500000000002906, -63.95000000000068 46.483333000002915, -63.933333000000665 46.48333300000292, -63.93333300000068 46.500000000002906, -63.950000000000664 46.500000000002906))","3"
"4-007","243681","POLYGON ((-63.733333000000655 46.350000000002915, -63.733333000000655 46.333333000002916, -63.716667000000655 46.33333300000294, -63.71666700000067 46.350000000002915, -63.733333000000655 46.350000000002915))","4"
"4-007","242914","POLYGON ((-63.966667000000676 46.666667000002896, -63.96666700000067 46.65000000000289, -63.95000000000068 46.65000000000291, -63.950000000000664 46.66666700000289, -63.966667000000676 46.666667000002896))","5"
"4-007","242558","POLYGON ((-63.98333300000068 46.8833330000029, -63.98333300000068 46.86666700000288, -63.96666700000069 46.8666670000029, -63.966667000000676 46.883333000002864, -63.98333300000068 46.8833330000029))","2"
"4-007","243744","POLYGON ((-63.533333000000624 46.31666700000293, -63.53333300000064 46.30000000000291, -63.516667000000616 46.30000000000291, -63.51666700000063 46.31666700000294, -63.533333000000624 46.31666700000293))","2"
"4-007","243730","POLYGON ((-63.766667000000666 46.31666700000292, -63.76666700000065 46.30000000000292, -63.750000000000654 46.30000000000291, -63.750000000000654 46.31666700000292, -63.766667000000666 46.31666700000292))","4"
"4-007","243761","POLYGON ((-63.60000000000066 46.300000000002925, -63.60000000000063 46.283333000002905, -63.583333000000636 46.28333300000293, -63.583333000000636 46.30000000000293, -63.60000000000066 46.300000000002925))","6"
"4-007","243705","POLYGON ((-63.766667000000666 46.333333000002916, -63.766667000000666 46.31666700000292, -63.750000000000654 46.31666700000292, -63.75000000000064 46.33333300000292, -63.766667000000666 46.333333000002916))","2"
"4-007","243711","POLYGON ((-63.66666700000064 46.33333300000294, -63.666667000000636 46.31666700000293, -63.650000000000645 46.316667000002916, -63.650000000000645 46.333333000002916, -63.66666700000064 46.33333300000294))","3"
"4-007","243669","POLYGON ((-63.45000000000065 46.36666700000292, -63.45000000000062 46.35000000000293, -63.43333300000062 46.35000000000293, -63.43333300000063 46.36666700000291, -63.45000000000065 46.36666700000292))","4"
"4-007","242572","POLYGON ((-64.11666700000069 46.86666700000289, -64.1166670000007 46.85000000000289, -64.10000000000069 46.85000000000288, -64.10000000000069 46.86666700000286, -64.11666700000069 46.86666700000289))","8"
"4-007","243559","POLYGON ((-64.06666700000069 46.40000000000291, -64.06666700000066 46.383333000002935, -64.05000000000068 46.383333000002914, -64.05000000000068 46.40000000000291, -64.06666700000069 46.40000000000291))","4"
"4-007","242490","POLYGON ((-64.15000000000069 46.93333300000287, -64.15000000000069 46.916667000002874, -64.13333300000068 46.916667000002896, -64.13333300000066 46.93333300000287, -64.15000000000069 46.93333300000287))","3"
